genes;p_value;beta_coef;std_err;fdr_bh_adj_pval
ZNF626;0.00035742746934308757;0.013760429688086731;0.0038547243590897756;0.07802851907212156
POLK;0.0004052214983553236;0.007879795585136073;0.002227981568884475;0.08743360608699284
LOXL2;0.0004142192149011498;0.008812202248427785;0.0024957124782087688;0.08834772128397397
FAM118A;0.00043689255225988206;0.01597720230436439;0.004543089765442024;0.09114397793030905
FAM46A;0.00043923549152957486;0.010923205462958935;0.0031072492321437546;0.09114397793030905
DPEP3;0.00044206499319507516;-0.006553797033595533;0.001865218595060558;0.09114397793030905
FAM78A;0.00046019769733357806;0.018007272342000235;0.0051405373928434354;0.09383987331562499
VARS2;0.0004655149572836366;0.00767441673164792;0.0021927326849578914;0.09389234290603436
STS;0.00047725710505845263;0.019937189445065267;0.005707288171495171;0.09522562195123277
PFDN1;0.0004990323444805129;0.04499299316333437;0.012923993209876132;0.09851110834234465
GPR15;0.000507902529803805;0.013174483789224119;0.003789438754261683;0.09920672992673057
ALDH1L1;0.0005221430884066398;-0.005613074099652917;0.001617969125343369;0.10007185540430165
CRYBA2;0.0005278559279622563;0.013671022266567615;0.003943998348915102;0.10007185540430165
LZTR1;0.0005337153318690532;-0.008612664618626994;0.0024868262591462944;0.10007185540430165
VWA7;0.0005339035182704173;0.009475906164855578;0.0027361541134894142;0.10007185540430165
MTSS1L;0.0005434322022093031;0.01088995666024418;0.0031487895045304026;0.10083927944195828
BAALC;0.0005527765268922336;0.032568437986128754;0.009429570050262308;0.10155763597041867
SLC7A9;0.0005604788744611422;-0.009854343719644438;0.0028562251938657637;0.10196319602451916
GZMA;0.0005833643695826166;0.012769332420098799;0.003712760884761425;0.10476800732797162
MANSC4;0.0005871886593074503;0.02633847663263781;0.007662013534197077;0.10476800732797162
TNFSF15;0.0006341285418158695;-0.035707504959688385;0.01045101207630666;0.11206561163747882
MSTN;0.0006448158797186837;0.013048992943204664;0.003824327004068029;0.11287927796282919
CYB561A3;0.0006531149302874121;0.025534185342888097;0.00749107556464242;0.11326355744311419
CLPX;0.0006648723356339057;0.0065197204374368425;0.0019154562449960695;0.11335831384930078
DCTPP1;0.0006658792956226442;0.024467683950196637;0.00718933767300388;0.11335831384930078
